Data,Nome,WeekDay
1/1/1993,CONFRATERNIZACAO,sexta-feira
4/21/1993,TIRADENTES,quarta-feira
5/1/1993,DIA DO TRABALHO,sábado
9/7/1993,INDEPENDENCIA,terça-feira
10/12/1993,N.S.APARECIDA,terça-feira
11/2/1993,FINADOS,terça-feira
11/15/1993,PROCLAMACAO DA REP.,segunda-feira
12/25/1993,NATAL,sábado
12/31/1993,ULT.DIA ANO-SEM COMP,sexta-feira
1/1/1994,CONFRATERNIZACAO,sábado
2/14/1994,CARNAVAL,segunda-feira
2/15/1994,CARNAVAL,terça-feira
3/31/1994,QUINTA-FEIRA SANTA,quinta-feira
4/1/1994,SEXTA-FEIRA DA PAIXA,sexta-feira
4/21/1994,TIRADENTES,quinta-feira
5/1/1994,DIA DO TRABALHO,domingo
6/2/1994,CORPUS CHRISTI,quinta-feira
9/7/1994,INDEPENDENCIA,quarta-feira
10/3/1994,ELEICOES GERAIS,segunda-feira
10/12/1994,N.S.APARECIDA,quarta-feira
11/2/1994,FINADOS,quarta-feira
11/15/1994,PROCLAMACAO DA REP.,terça-feira
12/25/1994,NATAL,domingo
1/1/1995,CONFRATERNIZACAO,domingo
2/27/1995,CARNAVAL,segunda-feira
2/28/1995,CARNAVAL,terça-feira
4/13/1995,QUINTA-FEIRA SANTA,quinta-feira
4/14/1995,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/1995,TIRADENTES,sexta-feira
5/1/1995,DIA DO TRABALHO,segunda-feira
6/15/1995,CORPUS CHRISTI,quinta-feira
9/7/1995,INDEPENDENCIA,quinta-feira
10/12/1995,N.S.APARECIDA,quinta-feira
11/2/1995,FINADOS,quinta-feira
11/15/1995,PROCLAMACAO DA REP.,quarta-feira
12/25/1995,NATAL,segunda-feira
1/1/1996,CONFRATERNIZACAO,segunda-feira
2/19/1996,CARNAVAL,segunda-feira
2/20/1996,CARNAVAL,terça-feira
4/4/1996,QUINTA-FEIRA SANTA,quinta-feira
4/5/1996,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/1996,TIRADENTES,domingo
5/1/1996,DIA DO TRABALHO,quarta-feira
6/6/1996,CORPUS CHRISTI,quinta-feira
9/7/1996,INDEPENDENCIA,sábado
10/3/1996,ELEICOES MUNICIPAIS,quinta-feira
10/12/1996,N.S.APARECIDA,sábado
11/2/1996,FINADOS,sábado
11/15/1996,PROCLAMACAO DA REP.,sexta-feira
12/25/1996,NATAL,quarta-feira
1/1/1997,CONFRATERNIZACAO,quarta-feira
2/10/1997,CARNAVAL,segunda-feira
2/11/1997,CARNAVAL,terça-feira
3/27/1997,QUINTA-FEIRA SANTA,quinta-feira
3/28/1997,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/1997,TIRADENTES,segunda-feira
5/1/1997,DIA DO TRABALHO,quinta-feira
5/29/1997,CORPUS CHRISTI,quinta-feira
9/7/1997,INDEPENDENCIA,domingo
10/12/1997,N.S.APARECIDA,domingo
11/2/1997,FINADOS,domingo
11/15/1997,PROCLAMACAO DA REP.,sábado
12/25/1997,NATAL,quinta-feira
